"Station (ie. WABC-AM  WCBS-FM)"," Home Nielsen Audio MSA"," Primary Format"," Simulcast"," Bdcasts in HD"," Multicasts"," Group Owner"," LMA",
"CFNY-FM","","Modern/Alternative Rock","","No","","Corus Entertainment, Inc.","",
"CHTZ-FM","","Rock","","No","","Whiteoaks Communications Group","",
"CHUM-FM","","Hot AC","","No","","Bell Media Radio","",
"CIDR-FM","","CHR","","No","","Bell Media Radio","",
"CILQ-FM","","Rock","","No","","Corus Entertainment, Inc.","",
"CIMX-FM","","Modern/Alternative Rock","","No","","Bell Media Radio","",
"CFLZ-FM","","Adult Hits","","No","","Byrnes Communications","",
"CKLW-AM","","News/Talk","","No","","Bell Media Radio","",
"CKWW-AM","","Classic Hits","","No","","CINA Radio Group","",
"KAAA-AM","","News/Talk","KZZZAM","No","","Cameron Broadcasting, Inc.","",
"KAAB-AM","","Classic Country","KKIKFM","No","","WRD Entertainment, Inc.","",
"KAAK-FM","","Hot AC","","No","","Townsquare Media","",
"KAAN-AM","","Sports","","No","","CARTER MEDIA LLC","",
"KAAN-FM","","Country","","No","","CARTER MEDIA LLC","",
"KAAQ-FM","","Country","KQSKFM","No","","Eagle Radio, Inc.","",
"KAAR-FM","","Country","","No","","Townsquare Media","",
"KAAT-FM","Fresno","Spanish Regional Mexican","","No","","Lazer Media","",
"KAAY-AM","Little Rock","Religious Teaching","","No","","Cumulus Media, Inc.","",
"KABC-AM","Los Angeles","Talk","","Yes","","Cumulus Media, Inc.","",
"KABI-AM","Salina-Manhattan, KS","Classic Hits","","No","","MERIDIAN MEDIA, LLC","",
"KJSM-FM","","Religious Teaching","","No","","Family Worship Center Church, Inc.","",
"KNEW-AM","San Francisco","Sports","","Yes","","iHeartMedia, Inc.","",
"KABQ-AM","Albuquerque","Sports","","Yes","","iHeartMedia, Inc.","",
"KABX-FM","Modesto","Adult Contemporary","","No","","Stephens Media Group","",
"KDLD-FM","Los Angeles","Spanish CHR","KDLEFM","Yes","","Entravision Communications Corp.","",
"KRCD-FM","Los Angeles","Spanish Adult Hits","KRCVFM","Yes","","TelevisaUnivision, Inc","",
"KACH-AM","","Classic Hits","","No","","Val Cook","",
"KTDS-AM","","Country","","No","","Bicoastal Media, LLC","",
"KACI-FM","","Classic Hits","","No","","Bicoastal Media, LLC","",
"KACT-AM","","Talk","","No","","Andrews Broadcasting Company Incorporated","",
"KACT-FM","","Country","","No","","Andrews Broadcasting Company Incorporated","",
"KOOS-FM","","Hot AC","","No","","Bicoastal Media, LLC","",
"KFXZ-AM","Lafayette, LA","News/Talk","","No","","Delta Media Corporation","",
"KADA-AM","","Rock","","No","","Chickasaw Nation","",
"KADA-FM","","Classic Hits","","No","","Chickasaw Nation","",
"KADI-FM","Springfield, MO","Contemporary Christian","","No","","Vision Communications, Inc. (Missouri)","",
"KUPI-FM","","Country","KQPIFM","No","HD2:Classic Country-KUPI Legends 92.5","Sandhill Media Corp.","",
"KADR-AM","","Adult Contemporary","","No","","Design Homes, Inc.","",
"KADS-AM","","Sports","","No","","Paragon Communications, Inc.","",
"KZBD-FM","Spokane","CHR","","No","","Stephens Media Group","",
"KJJP-FM","Amarillo, TX","News/Talk","","Yes","HD2:News/Talk-HPPR Connect","High Plains Public Radio","",
"KAFE-FM","","Soft AC","","Yes","","Saga Communications, Inc.","",
